,correct_option,llama70b,llama13b,llama7b,gpt35turbo,finetuned_gpt3,random,MoMu_zero,multimodal_correct_option,MoleculeSTM_zero,KV-PLM_zero,kvplm_correct_option,SciBERT_zero,MoMu_finetuned,MoleculeSTM_finetuned,galactica-125m_zero,galactica_correct_option,galactica-1.3b_zero,galactica-6.7b_zero,galactica-125m_finetuned,galactica-1.3b_finetuned,galactica-6.7b_finetuned
54,3,1,1,1,5,4,3,3,4,4,2,2,2,1,4,3,2,3,3,2,2,2
55,5,4,3,-1,1,4,5,3,4,0,0,4,0,3,0,1,4,0,0,0,0,0
56,1,2,2,4,2,1,4,4,4,4,4,0,1,4,4,2,0,0,1,1,1,1
57,1,4,2,1,5,3,2,1,1,1,3,0,4,1,1,2,0,0,1,3,3,1
58,4,3,3,1,3,3,1,1,1,1,4,3,4,1,1,3,3,0,2,1,4,4
59,2,1,3,1,1,4,1,0,0,0,0,1,0,0,0,1,1,0,0,0,3,3
60,1,3,3,1,5,1,1,2,4,3,3,0,3,0,4,0,0,0,2,2,2,2
61,3,1,1,-1,5,4,4,3,1,1,1,2,0,1,0,2,2,0,0,3,3,3
62,4,3,3,-1,3,1,4,3,1,3,3,3,4,3,3,0,3,0,1,2,2,2
63,5,3,3,1,1,3,3,1,1,1,1,4,0,1,1,1,4,0,0,2,3,3
64,3,3,3,-1,4,2,1,2,2,3,2,2,0,2,0,1,2,0,0,3,0,3
65,5,3,1,1,5,1,3,3,3,3,2,4,3,3,3,1,4,1,1,2,0,2
66,3,2,5,1,2,3,3,2,2,0,2,2,3,1,0,2,2,0,0,1,1,1
67,5,1,1,-1,4,1,3,2,0,3,2,4,3,2,3,4,4,0,4,0,2,2
68,5,3,3,1,5,4,5,0,0,2,3,4,2,0,0,4,4,0,0,1,2,0
69,5,5,1,1,5,2,3,4,4,4,3,4,1,4,4,0,4,0,1,2,3,1
70,5,3,3,1,3,3,1,4,0,1,4,4,0,2,0,4,4,0,0,0,2,2
71,5,3,1,1,3,3,3,3,2,0,3,4,1,0,2,0,4,0,0,1,2,2
72,3,5,5,2,5,2,4,4,4,4,2,2,3,4,4,2,2,0,1,4,4,4
73,5,4,2,5,1,1,4,3,3,1,3,4,3,3,3,4,4,4,4,1,2,2
74,2,3,3,-1,5,4,3,4,4,4,1,1,3,4,4,3,1,0,0,0,0,0
75,1,3,3,5,5,2,2,2,4,2,0,0,1,2,2,1,0,1,1,3,2,3
76,2,3,3,5,2,1,5,2,2,2,1,1,4,2,2,0,1,2,2,4,4,4
77,2,4,3,-1,4,1,4,2,4,4,3,1,0,1,0,0,1,1,1,2,2,0
78,2,5,1,4,5,2,3,0,0,1,4,1,1,0,2,2,1,0,2,3,3,3
79,1,5,3,5,5,4,2,4,3,0,1,0,1,4,0,0,0,0,1,1,2,1
80,3,3,3,1,1,4,4,1,1,1,0,2,0,4,1,3,2,0,0,1,0,0
81,5,2,2,2,3,4,5,1,3,1,4,4,1,4,4,0,4,0,1,1,3,3
82,4,4,1,1,1,1,5,1,1,1,3,3,0,1,0,4,3,0,0,0,2,3
83,5,4,1,1,1,4,3,1,1,1,4,4,4,1,1,0,4,0,0,2,2,3
84,4,4,1,4,2,1,2,0,0,0,0,3,2,0,0,0,3,0,0,1,3,2
85,1,1,3,1,3,1,3,0,1,0,0,0,0,0,4,3,0,0,0,2,4,4
86,5,1,1,-1,5,1,1,3,3,2,3,4,3,3,2,3,4,1,3,1,1,0
87,1,2,2,-1,2,1,1,1,1,1,2,0,1,1,1,3,0,0,0,2,2,2
88,3,1,3,1,1,3,1,1,4,0,2,2,4,2,0,1,2,3,3,1,2,4
89,4,4,2,4,2,2,2,0,2,0,0,3,3,3,0,0,3,0,1,1,3,1
90,1,1,5,1,4,4,5,2,2,2,0,0,4,2,2,2,0,0,0,3,3,1
91,4,4,3,2,4,1,2,1,4,1,3,3,2,1,1,0,3,0,1,1,3,3
92,3,1,2,1,1,4,3,4,0,4,0,2,4,4,4,4,2,0,0,1,3,2
93,4,3,4,4,4,1,3,4,1,4,0,3,0,4,4,4,3,0,0,1,3,3
94,1,1,3,5,4,1,4,4,1,4,3,0,3,4,4,4,0,0,0,1,3,3
95,3,4,3,1,2,4,3,0,4,0,4,2,4,3,0,1,2,0,0,2,4,2
96,3,5,3,4,5,2,3,2,4,0,2,2,4,0,0,1,2,4,1,0,3,2
97,2,4,2,1,1,2,1,0,2,0,0,1,0,0,0,0,1,0,0,1,1,1
98,4,4,1,1,5,2,3,2,2,2,3,3,3,2,2,4,3,0,1,1,3,3
99,5,1,1,1,2,1,4,4,4,0,4,4,1,4,0,4,4,0,0,1,1,2
100,3,3,3,1,3,1,3,4,4,4,2,2,1,4,4,2,2,0,0,1,4,3
101,5,3,3,2,2,4,5,2,2,2,4,4,3,2,2,0,4,0,4,1,3,2
102,1,3,2,1,3,2,3,1,4,0,1,0,2,1,0,0,0,0,1,1,2,3
103,5,1,2,1,2,3,2,1,1,1,2,4,3,1,1,4,4,0,1,1,3,1
104,4,5,2,1,2,1,4,4,3,0,3,3,1,4,0,3,3,3,3,1,1,2
105,4,3,3,1,5,3,1,1,1,1,3,3,1,1,1,0,3,0,0,2,2,1
106,4,5,1,1,5,3,3,1,1,1,4,3,3,1,1,0,3,0,0,0,0,3
107,5,1,3,1,5,1,2,1,1,4,4,4,3,1,4,4,4,0,0,1,2,3
108,1,2,2,1,4,4,4,3,3,3,2,0,1,3,3,0,0,0,0,4,3,3
109,4,5,3,5,5,3,2,1,4,4,3,3,1,1,1,2,3,0,0,1,1,1
110,5,2,2,1,1,4,2,1,3,1,0,4,2,1,3,0,4,0,1,1,2,2
111,1,2,1,1,2,1,5,4,2,0,3,0,0,0,0,0,0,4,4,3,3,3
112,4,5,2,1,5,4,2,3,3,3,3,3,4,3,3,2,3,0,2,4,4,4
113,3,4,3,-1,5,4,3,0,0,0,2,2,1,0,0,4,2,0,0,1,3,3
114,1,4,4,4,4,4,4,3,3,3,0,0,1,3,3,1,0,0,0,0,3,0
115,5,2,3,-1,2,2,1,1,2,0,4,4,0,4,0,0,4,0,0,4,4,4
116,2,2,2,-1,5,2,2,0,4,4,4,1,4,1,4,0,1,0,2,4,1,1
117,4,2,2,1,3,3,1,2,2,2,4,3,1,2,2,0,3,0,2,2,2,2
118,4,1,2,-1,1,1,2,1,1,1,2,3,2,1,1,4,3,4,4,1,3,1
119,3,1,3,-1,1,1,1,2,3,2,1,2,2,2,2,2,2,0,2,1,3,2
120,3,1,1,1,3,2,3,1,3,3,2,2,0,1,1,2,2,2,2,1,0,0
121,5,1,1,1,5,3,5,0,1,0,4,4,1,1,0,4,4,4,0,1,3,3
122,2,5,1,2,1,2,4,1,1,1,4,1,2,1,1,0,1,0,2,4,4,4
123,5,1,3,1,5,4,5,1,0,0,4,4,0,0,0,4,4,4,4,1,2,2
124,3,2,3,1,3,1,1,0,0,0,1,2,4,0,0,1,2,0,0,0,4,4
125,1,2,1,-1,3,3,1,3,3,3,0,0,4,3,3,0,0,0,1,4,4,3
126,4,4,3,1,5,1,3,3,0,3,3,3,2,1,3,3,3,3,3,2,4,0
127,2,3,2,1,5,4,4,2,2,2,1,1,2,2,2,1,1,1,1,2,3,2
128,3,1,3,1,2,2,5,4,4,0,2,2,3,4,4,2,2,0,0,0,0,0
129,1,3,3,1,1,1,3,1,1,1,0,0,3,1,1,0,0,0,2,2,3,2
130,3,2,2,1,4,2,3,0,0,0,0,2,4,0,0,0,2,0,0,1,0,0
131,2,5,3,1,1,2,4,3,2,3,4,1,3,3,3,1,1,0,4,4,3,4
132,2,3,3,3,4,4,4,1,1,1,3,1,0,1,1,1,1,0,0,3,0,3
133,3,4,2,1,5,1,3,3,0,0,2,2,0,1,2,2,2,2,2,4,3,3
134,4,5,2,5,2,1,4,2,2,2,4,3,2,2,2,3,3,0,2,2,2,2
135,3,4,2,1,4,3,2,2,2,2,1,2,1,2,2,2,2,2,2,1,3,1
136,5,3,3,4,3,4,1,2,2,2,0,4,3,2,2,3,4,3,0,2,2,2
137,4,4,3,1,3,3,2,1,1,1,3,3,3,1,1,2,3,0,2,4,4,4
138,2,4,2,-1,1,4,4,1,4,4,1,1,1,1,1,1,1,1,0,0,2,2
139,1,4,2,5,2,4,2,1,1,1,3,0,4,2,1,3,0,0,0,0,3,3
140,1,2,2,1,4,1,5,0,0,4,2,0,1,0,4,3,0,0,1,2,2,2
141,4,3,2,1,2,4,2,1,1,1,3,3,3,1,0,4,3,0,0,1,0,0
142,4,1,3,1,2,2,1,3,3,3,3,3,3,3,3,3,3,2,3,2,2,4
143,3,3,2,1,3,3,3,0,0,1,2,2,0,0,1,4,2,4,4,1,2,2
144,3,3,3,5,1,1,5,1,2,2,2,2,4,3,2,0,2,1,0,2,3,2
145,4,4,3,1,2,3,3,0,0,1,3,3,2,0,0,4,3,4,4,1,3,3
146,3,3,2,1,2,2,1,0,0,0,0,2,1,0,0,3,2,3,0,1,2,2
147,2,2,2,1,2,4,5,1,1,1,1,1,1,4,0,2,1,2,0,1,3,0
148,4,4,4,5,4,1,5,4,4,1,3,3,1,4,1,4,3,0,0,1,3,3
149,4,4,2,-1,4,4,3,1,3,4,0,3,0,4,4,1,3,1,0,0,4,0
150,2,2,1,1,5,4,4,3,3,3,1,1,2,3,3,2,1,2,0,1,3,1
151,3,3,1,1,3,3,1,1,1,1,2,2,2,1,1,1,2,0,1,1,2,2
152,3,3,3,3,2,4,3,4,0,4,2,2,1,2,4,3,2,3,0,2,1,1
153,1,1,3,1,1,3,4,2,4,2,0,0,1,2,2,4,0,0,0,1,2,2
154,4,1,3,1,2,3,3,0,0,4,3,3,3,1,4,2,3,0,0,1,3,3
155,1,4,2,1,5,2,3,0,2,0,0,0,0,0,1,2,0,2,0,2,3,2
156,2,2,3,1,3,3,1,0,0,3,1,1,3,2,2,3,1,0,0,0,2,1
157,1,4,2,1,5,4,1,3,3,3,0,0,4,3,3,0,0,0,1,2,2,2
158,1,4,3,5,5,4,1,4,3,0,3,0,2,4,0,0,0,0,1,1,3,3
159,5,4,3,1,1,2,3,2,3,2,4,4,0,2,2,4,4,0,4,1,1,1
160,4,3,3,1,5,4,4,1,0,1,3,3,2,0,0,2,3,0,0,1,4,1
161,1,1,1,-1,4,1,4,3,3,3,4,0,1,3,3,0,0,0,0,1,1,1
162,4,4,3,1,4,1,2,1,4,4,2,3,1,1,4,0,3,0,1,1,3,2
163,4,2,2,2,5,2,1,2,1,3,2,3,1,4,3,0,3,0,1,1,1,1
164,1,5,2,1,5,1,5,3,3,3,3,0,1,3,3,0,0,0,3,1,4,2
165,2,1,2,-1,2,1,3,0,4,0,3,1,2,0,0,4,1,0,4,3,3,0
166,2,2,3,5,3,4,3,1,4,0,1,1,2,0,0,1,1,0,0,2,2,2
167,5,1,3,1,1,3,4,0,0,0,1,4,1,0,0,4,4,0,0,3,2,2
168,3,4,3,2,5,4,3,0,4,4,1,2,1,0,4,2,2,0,0,4,4,4
169,1,1,2,5,1,2,2,1,1,1,0,0,4,1,1,0,0,0,1,4,1,4
170,1,1,2,1,1,3,4,4,2,4,2,0,2,4,4,4,0,4,4,0,3,2
171,4,4,1,1,5,2,1,0,4,4,4,3,3,1,4,2,3,0,0,1,4,4
172,3,4,3,1,1,3,2,1,4,4,0,2,4,4,4,0,2,0,0,2,2,2
173,3,3,2,4,5,4,3,0,2,1,1,2,1,0,4,0,2,0,0,2,2,3
174,2,2,2,-1,2,3,3,3,3,3,3,1,1,3,2,0,1,0,1,1,3,3
175,4,4,5,5,4,1,1,0,0,0,3,3,0,0,0,2,3,0,0,4,0,0
176,3,2,3,3,4,1,4,0,0,0,2,2,2,0,0,1,2,0,1,0,2,2
177,4,4,4,3,4,4,4,3,0,3,3,3,3,3,3,1,3,0,0,0,2,2
178,3,4,1,-1,4,3,4,4,0,3,1,2,2,3,3,4,2,0,4,3,3,3
179,1,1,2,-1,2,1,3,2,4,4,0,0,1,4,4,0,0,2,0,1,3,3
180,4,2,3,1,4,1,2,1,4,4,1,3,2,1,1,4,3,0,1,3,3,3
181,5,4,3,1,4,1,3,4,0,2,4,4,3,0,2,4,4,0,1,1,2,2
182,2,4,2,1,4,4,3,4,4,4,4,1,1,4,4,0,1,0,1,0,2,2
183,3,4,1,1,4,3,2,4,4,4,0,2,0,4,4,1,2,0,0,0,0,0
184,1,3,3,-1,5,1,3,4,0,1,2,0,0,0,3,3,0,3,2,2,4,2
185,3,4,2,-1,4,2,2,2,2,2,1,2,2,2,2,0,2,0,1,1,1,1
186,2,5,3,3,5,2,1,4,4,4,0,1,0,4,4,3,1,0,0,2,2,2
187,4,4,3,1,5,3,2,4,3,3,1,3,2,3,4,0,3,3,3,1,1,1
188,2,1,1,-1,4,4,4,1,3,3,1,1,2,3,3,1,1,2,2,2,2,2
189,1,4,3,5,4,1,2,0,2,4,2,0,4,0,4,0,0,0,0,1,2,1
190,1,3,3,-1,2,1,2,0,1,2,1,0,4,0,2,0,0,0,0,1,2,2
191,5,1,2,1,1,2,1,3,3,3,0,4,4,3,3,2,4,0,2,0,0,0
192,1,1,1,-1,1,2,3,4,4,4,4,0,1,4,4,1,0,0,0,4,4,2
193,5,4,2,5,2,1,1,4,4,4,2,4,2,4,4,0,4,0,0,2,2,3
194,3,3,3,1,3,4,1,2,3,3,2,2,1,2,4,0,2,0,2,1,2,2
195,4,1,2,1,1,4,1,4,2,3,2,3,0,0,3,1,3,0,1,2,3,2
196,3,3,2,3,4,3,1,2,1,0,0,2,4,2,0,4,2,4,0,1,3,0
197,4,2,2,3,2,1,2,2,3,3,3,3,4,3,3,4,3,0,1,1,2,2
198,5,1,3,1,2,4,5,3,1,1,4,4,4,2,1,0,4,0,3,4,2,0
199,3,1,3,1,1,1,2,0,0,0,2,2,0,0,0,1,2,0,0,2,2,2
200,3,3,3,5,1,2,2,2,2,2,2,2,0,2,2,4,2,4,0,1,3,2
201,1,4,3,1,1,2,2,1,0,1,3,0,2,1,1,1,0,0,0,3,3,0
202,2,5,3,1,3,1,5,2,2,2,4,1,4,2,2,0,1,0,0,1,4,4
203,5,2,3,1,3,1,5,3,3,3,1,4,3,0,3,3,4,3,1,1,3,0
204,3,1,1,-1,1,3,3,1,4,0,2,2,0,1,1,1,2,2,2,1,3,1
205,1,1,2,1,4,4,5,2,2,2,4,0,2,2,2,0,0,0,1,1,4,4
206,1,4,3,-1,3,1,2,3,3,3,3,0,0,3,3,4,0,0,4,2,2,3
207,4,2,3,-1,3,1,2,3,3,4,3,3,2,3,4,3,3,3,0,0,2,2
208,4,1,2,1,5,2,4,0,1,1,2,3,2,0,2,2,3,0,1,1,4,4
209,5,4,2,2,5,2,1,1,1,1,2,4,3,1,1,4,4,0,3,1,3,2
210,4,5,3,2,5,1,3,3,1,0,0,3,1,0,0,2,3,0,0,1,1,1
211,2,4,3,1,4,2,5,0,0,0,4,1,0,0,0,1,1,0,1,2,2,0
212,1,1,1,-1,5,2,3,2,4,4,0,0,2,2,4,3,0,4,4,1,0,4
213,1,4,4,1,4,2,1,0,0,3,3,0,2,0,3,1,0,3,3,0,4,0
214,1,1,3,-1,5,3,3,4,4,4,0,0,4,4,4,1,0,1,2,2,2,2
215,5,5,5,5,5,2,2,1,1,4,4,4,0,1,4,1,4,1,0,2,2,0
216,2,2,2,-1,2,1,2,3,1,0,1,1,3,1,0,0,1,0,0,4,2,2
217,3,3,3,1,1,2,4,0,3,0,0,2,2,0,0,1,2,0,1,0,3,3
218,3,3,1,1,3,2,2,1,1,1,0,2,1,1,1,0,2,1,1,2,2,2
219,4,2,5,4,4,4,5,4,4,4,1,3,3,4,4,0,3,0,1,4,3,3
220,3,2,1,1,5,2,2,1,1,1,1,2,3,1,1,3,2,0,3,0,2,2
221,5,4,3,1,5,2,3,3,1,3,4,4,1,3,3,2,4,2,2,1,3,1
222,1,2,3,1,5,3,4,2,2,2,0,0,2,4,2,3,0,3,3,4,4,4
223,4,2,2,1,2,4,1,3,3,3,3,3,2,3,3,0,3,0,1,2,2,2
224,4,3,2,1,5,1,3,1,1,1,3,3,4,1,1,3,3,0,1,2,2,2
225,4,3,2,2,4,4,1,2,0,2,3,3,2,2,2,0,3,0,0,1,3,2
226,5,1,1,5,5,4,3,2,2,2,4,4,4,2,2,3,4,0,0,1,2,0
227,2,3,2,-1,5,4,2,1,1,1,1,1,1,1,0,4,1,4,4,2,3,2
228,3,3,3,-1,3,4,1,4,4,4,1,2,2,4,4,1,2,0,4,3,3,3
229,3,3,2,1,2,2,1,1,1,1,4,2,2,1,1,0,2,1,0,1,3,3
230,5,2,2,2,3,4,2,3,3,3,2,4,3,3,3,0,4,0,0,3,3,3
231,4,4,3,-1,5,2,5,3,3,3,0,3,2,3,3,2,3,2,0,1,2,2
232,2,4,2,1,2,3,3,3,3,2,1,1,1,3,2,4,1,0,0,1,3,1
233,5,1,1,-1,4,4,4,3,3,3,4,4,1,3,3,1,4,0,0,2,2,2
234,3,4,5,1,5,1,2,2,1,1,0,2,2,1,1,2,2,0,0,4,4,4
235,4,5,3,1,5,3,2,2,2,2,3,3,3,2,2,3,3,0,3,1,2,2
236,4,5,2,-1,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2
237,1,4,3,-1,5,1,1,4,4,4,0,0,0,1,4,3,0,3,3,2,1,2
238,5,2,3,-1,5,3,5,0,1,0,3,4,4,2,0,0,4,0,1,1,3,3
239,5,4,3,4,4,2,3,1,3,2,3,4,4,1,1,4,4,0,4,2,2,3
240,4,3,1,1,4,4,4,0,0,3,1,3,3,0,1,4,3,3,3,4,1,1
241,4,1,3,-1,1,4,5,3,3,3,3,3,0,3,3,0,3,0,3,2,2,2
242,2,4,1,5,4,4,2,1,1,1,2,1,0,1,1,0,1,0,2,0,4,4
243,1,4,2,5,2,4,4,1,1,1,0,0,0,1,1,2,0,2,2,1,1,1
244,4,2,3,-1,3,1,4,1,1,1,3,3,4,1,1,0,3,0,1,1,1,1
245,3,1,2,-1,2,3,3,3,1,3,1,2,1,3,3,2,2,0,1,4,3,4
246,4,1,3,-1,4,3,5,0,0,0,1,3,3,0,0,0,3,0,3,0,2,2
247,5,4,2,5,5,1,2,1,1,1,0,4,0,1,1,1,4,0,1,4,3,3
248,2,2,2,1,2,3,4,2,2,2,1,1,1,2,2,3,1,0,4,2,2,2
249,1,1,2,-1,1,2,5,3,3,3,2,0,0,3,3,4,0,4,2,0,2,2
250,1,5,3,-1,1,1,5,0,4,0,4,0,1,4,0,3,0,1,1,4,0,2
251,5,3,3,5,5,4,2,4,4,4,4,4,2,4,4,0,4,0,1,1,3,0
252,2,1,2,1,5,2,5,3,4,3,1,1,3,3,3,2,1,0,2,3,3,3
253,2,3,3,1,1,1,5,0,2,0,0,1,4,0,0,4,1,4,4,3,2,2
254,5,3,3,3,5,1,1,2,2,2,4,4,4,2,2,4,4,4,4,1,2,2
255,2,3,3,4,2,1,4,2,2,2,2,1,2,2,2,0,1,0,3,2,2,2
256,2,3,3,5,2,3,2,4,4,4,1,1,1,4,4,0,1,0,0,3,4,1
257,3,2,2,4,3,4,2,3,3,4,1,2,1,2,0,3,2,3,0,2,2,2
258,5,1,3,-1,1,1,2,0,3,0,4,4,2,2,3,0,4,1,0,0,0,0
259,4,2,3,1,5,4,2,4,4,4,2,3,0,4,4,4,3,0,2,1,2,3
260,1,4,3,1,4,2,5,4,3,1,1,0,2,3,3,4,0,0,0,1,3,3
261,4,4,2,-1,5,4,2,1,1,1,1,3,0,1,1,0,3,0,1,1,3,3
262,4,2,2,5,4,2,5,3,3,3,1,3,3,3,3,0,3,0,0,1,3,3
263,3,4,1,-1,2,4,2,1,1,1,2,2,4,1,1,0,2,0,2,2,2,2
264,1,3,3,5,5,4,1,1,0,4,3,0,3,1,0,0,0,0,1,3,3,3
265,5,4,3,-1,3,4,2,2,2,2,0,4,3,2,2,1,4,0,0,0,0,2
266,1,3,2,1,1,4,4,4,4,4,0,0,1,4,4,0,0,0,1,1,2,2
267,1,4,2,1,5,4,4,0,0,0,1,0,1,0,0,0,0,0,2,2,3,3
268,1,4,5,1,1,3,5,2,2,1,3,0,1,4,1,0,0,0,3,3,3,3
269,1,4,3,1,4,2,5,0,2,3,0,0,4,0,3,0,0,0,0,1,1,1
270,2,4,3,1,5,1,3,0,2,0,2,1,2,0,0,1,1,0,0,4,4,3
271,4,5,3,1,5,1,3,1,1,1,0,3,2,1,1,3,3,3,0,2,2,2
272,5,3,3,5,5,4,5,3,3,3,3,4,2,4,3,0,4,0,1,1,3,2
273,3,4,1,-1,1,2,2,0,2,0,2,2,2,0,0,1,2,0,0,2,2,3
274,1,4,1,-1,2,4,3,3,3,3,2,0,3,3,3,4,0,4,4,2,2,2
275,4,4,1,1,1,2,5,1,1,3,2,3,2,0,3,4,3,4,3,1,3,3
276,2,4,3,1,5,1,4,3,1,3,4,1,2,3,3,0,1,0,0,3,2,2
277,4,2,2,-1,2,1,1,1,3,0,3,3,3,3,0,0,3,0,1,1,3,3
278,2,5,1,-1,5,2,2,3,2,3,4,1,2,4,2,0,1,0,1,1,2,2
279,4,5,3,1,1,3,2,2,3,2,3,3,1,2,4,1,3,0,0,2,3,3
280,4,3,1,1,3,4,2,0,0,0,3,3,1,0,0,4,3,0,0,2,0,2
281,2,2,3,2,2,3,5,0,0,0,1,1,0,0,2,0,1,0,1,3,3,2
282,5,2,1,-1,3,1,5,2,2,2,1,4,4,3,2,0,4,0,1,4,3,3
283,2,1,2,1,5,3,2,0,0,0,3,1,3,0,0,0,1,0,0,2,3,2
284,5,4,1,1,1,2,5,2,0,0,4,4,2,2,0,2,4,0,0,1,1,1
285,3,1,1,-1,5,4,2,1,1,1,2,2,2,1,1,2,2,2,4,3,2,3
286,4,3,2,2,3,3,3,2,2,2,3,3,2,2,2,0,3,0,4,2,2,2
287,4,4,3,5,5,3,2,4,4,4,2,3,3,3,4,1,3,0,0,3,4,4
288,4,2,2,-1,2,4,5,4,3,0,2,3,1,2,3,0,3,3,0,0,3,2
289,4,4,3,1,5,1,3,2,2,2,2,3,4,2,2,1,3,0,0,0,2,3
290,2,1,1,1,1,3,5,2,2,2,2,1,1,2,2,3,1,0,0,2,1,2
291,5,2,2,4,2,4,3,0,2,0,1,4,4,2,2,0,4,0,0,2,2,2
292,4,5,3,1,5,4,3,2,2,2,0,3,3,3,2,0,3,1,0,3,0,3
