,correct_option,validated_option,llama70b,llama13b,llama7b,gpt35turbo,finetuned_gpt3,random,MoMu_zero,multimodal_correct_option,MoleculeSTM_zero,KV-PLM_zero,kvplm_correct_option,SciBERT_zero,MoMu_finetuned,MoleculeSTM_finetuned,galactica-125m_zero,galactica_correct_option,galactica-1.3b_zero,galactica-6.7b_zero,galactica-125m_finetuned,galactica-1.3b_finetuned,galactica-6.7b_finetuned
69,3,3,2,1,5,3,4,3,4,2,2,2,2,1,4,3,0,2,3,0,1,0,0
70,5,5,4,2,5,5,4,4,4,4,4,3,4,1,4,4,0,4,0,0,1,0,4
71,4,4,4,2,4,4,2,3,0,3,0,1,3,2,2,0,0,3,0,0,1,3,0
72,3,3,3,3,4,3,3,2,2,2,1,3,2,2,0,0,0,2,1,2,2,2,2
73,1,1,4,5,1,4,2,2,3,0,3,2,0,3,2,2,0,0,0,0,1,0,0
74,1,1,5,4,5,5,2,3,2,0,3,3,0,4,2,3,1,0,4,0,1,4,3
75,1,1,4,2,5,1,2,5,1,0,4,3,0,3,0,2,0,0,0,0,0,0,0
76,4,4,4,5,5,3,1,3,1,3,1,1,3,3,2,0,0,3,3,3,1,3,3
77,3,3,3,3,5,3,3,3,0,2,0,3,2,1,3,0,0,2,2,2,1,2,2
78,4,4,4,5,5,1,3,1,0,3,0,0,3,4,0,0,0,3,0,0,1,2,0
79,3,3,3,3,3,3,3,3,4,2,1,0,2,1,4,1,0,2,4,2,1,2,2
80,1,1,1,5,5,1,1,1,0,0,4,0,0,2,0,4,0,0,0,0,1,2,0
81,3,3,3,3,54,3,2,1,1,2,4,4,2,1,2,4,0,2,3,0,1,2,2
82,3,3,3,3,4,3,4,5,4,2,4,4,2,0,4,2,0,2,0,0,1,3,3
83,4,4,3,3,5,4,5,5,4,3,0,3,3,2,3,3,0,3,0,0,1,2,2
84,3,3,3,3,5,3,2,1,4,2,3,2,2,2,4,0,0,2,0,2,1,2,2
85,4,4,4,4,4,4,4,1,3,3,0,3,3,1,3,3,0,3,0,3,1,3,3
86,5,5,3,3,4,5,1,1,2,4,4,4,4,0,0,4,0,4,0,0,1,2,2
87,4,4,4,4,4,4,5,2,2,3,0,0,3,3,2,0,0,3,0,3,1,3,3
88,3,3,3,3,5,3,3,5,2,2,2,2,2,1,2,2,0,2,0,0,1,2,2
89,3,3,2,3,5,3,2,3,3,2,2,4,2,2,4,2,0,2,0,0,0,2,2
90,5,5,3,5,3,5,4,1,3,4,3,4,4,0,3,4,0,4,0,0,1,4,4
91,1,1,1,1,2,1,1,1,1,0,1,1,0,3,0,1,3,0,0,3,0,0,0
92,5,5,3,3,5,3,3,3,2,4,2,1,4,1,2,2,0,4,0,0,1,2,2
93,3,3,3,3,3,3,3,4,0,2,4,3,2,2,2,1,0,2,2,2,2,2,2
94,1,1,1,1,5,1,1,4,1,0,2,3,0,1,1,0,0,0,0,0,1,0,0
95,2,2,3,4,5,5,5,5,3,1,3,0,1,0,3,3,0,1,4,0,1,4,4
96,5,5,3,5,5,3,1,1,3,4,1,2,4,2,3,1,2,4,4,0,0,0,4
97,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,0,3,0,3,1,3,3
98,5,5,4,5,5,4,3,5,1,4,0,0,4,0,0,0,0,4,0,4,1,2,4
99,2,2,2,5,5,2,5,5,2,1,2,2,1,0,2,2,0,1,0,0,1,2,0
100,3,3,3,5,5,3,3,5,3,2,2,1,2,3,3,2,0,2,0,0,1,0,0
101,4,4,4,4,4,4,4,5,3,3,2,1,3,3,3,2,0,3,3,3,1,3,3
102,2,2,3,3,5,2,2,1,1,1,1,2,1,3,0,1,0,1,0,0,1,2,1
103,2,2,2,2,5,4,2,1,1,1,2,4,1,1,1,2,0,1,0,0,0,1,1
104,3,3,3,3,5,3,3,2,3,2,1,4,2,2,3,1,0,2,2,0,1,2,2
105,4,4,4,4,5,4,4,2,3,3,3,3,3,0,3,1,0,3,0,0,1,3,0
106,4,4,5,3,5,3,4,3,4,3,4,2,3,2,2,0,0,3,0,0,0,2,2
107,4,4,4,2,1,2,4,3,2,3,2,2,3,0,2,2,0,3,0,0,1,3,0
108,4,4,4,4,4,1,4,3,4,3,0,1,3,4,3,0,0,3,2,0,0,3,3
109,4,4,4,4,4,4,3,2,1,3,4,3,3,1,4,3,0,3,0,0,1,2,2
110,4,4,4,4,5,4,3,1,3,3,3,3,3,0,3,3,0,3,0,0,1,3,3
111,5,5,2,4,5,1,1,1,3,4,2,0,4,4,2,2,0,4,0,0,1,0,0
112,3,3,3,3,5,3,3,1,2,2,3,1,2,1,3,0,0,2,0,2,1,2,2
113,3,3,3,3,4,3,3,5,4,2,2,2,2,3,4,2,0,2,0,0,1,1,2
114,3,3,3,3,4,3,2,1,2,2,2,2,2,4,2,0,0,2,0,0,1,2,2
115,3,3,3,3,5,3,3,2,2,2,3,4,2,1,2,2,0,2,0,2,1,2,2
116,4,4,4,4,4,4,4,1,3,3,3,4,3,4,3,3,0,3,3,0,1,3,0
117,4,4,4,4,5,4,2,5,1,3,2,0,3,1,1,0,0,3,0,0,1,0,1
118,5,5,4,4,5,5,1,5,0,4,4,1,4,4,4,4,0,4,0,4,1,3,4
119,5,5,3,3,4,5,3,3,4,4,1,1,4,2,4,4,0,4,0,0,2,2,2
120,4,4,2,2,5,1,2,4,3,3,3,0,3,0,1,3,0,3,0,0,2,1,0
121,3,3,3,3,5,3,2,5,2,2,1,2,2,1,0,0,0,2,0,0,1,2,3
122,2,2,3,2,4,3,1,2,2,1,2,2,1,1,4,3,0,1,0,0,1,0,4
123,4,4,4,4,5,4,4,4,4,3,2,3,3,0,0,2,0,3,0,0,1,3,3
124,5,5,2,5,4,5,5,5,0,4,0,0,4,4,0,0,0,4,0,0,1,3,4
125,4,4,4,3,5,1,2,5,1,3,3,1,3,0,3,3,0,3,0,0,1,2,1
126,5,5,4,3,5,2,3,4,1,4,2,1,4,3,1,2,0,4,0,0,1,2,4
127,2,2,2,1,5,2,3,3,0,1,2,0,1,0,0,0,0,1,0,0,0,2,0
128,5,5,2,1,5,1,4,2,2,4,3,4,4,0,2,3,0,4,0,0,1,0,0
129,4,4,3,3,4,2,4,1,1,3,1,0,3,3,1,1,0,3,0,0,1,3,3
130,2,2,4,3,4,1,1,2,4,1,3,1,1,2,4,4,0,1,0,0,1,0,0
131,4,4,4,5,5,3,5,1,3,3,2,0,3,4,2,2,0,3,0,0,1,2,3
132,4,4,2,4,4,2,3,4,2,3,3,2,3,4,3,3,0,3,0,0,1,0,0
133,4,4,3,3,4,1,2,4,2,3,1,1,3,3,0,2,0,3,0,0,1,0,0
134,4,4,4,3,2,4,2,1,3,3,1,0,3,4,3,1,1,3,0,0,1,3,0
135,4,4,2,2,1,2,1,4,3,3,1,1,3,1,2,1,0,3,0,0,1,2,0
136,4,4,4,4,5,1,4,1,0,3,1,1,3,2,0,0,0,3,0,0,1,3,3
137,3,3,4,1,5,1,4,3,4,2,4,1,2,0,2,4,0,2,0,0,1,3,0
138,3,3,3,3,5,3,3,4,2,2,1,3,2,3,2,1,0,2,0,0,0,2,2
139,3,3,3,5,5,3,3,3,3,2,2,4,2,1,3,3,0,2,2,0,1,2,2
140,3,3,3,3,5,3,3,3,0,2,3,4,2,3,1,2,0,2,0,2,1,2,2
141,1,1,4,5,5,1,1,2,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0
142,3,3,2,2,5,5,2,3,4,2,4,2,2,1,4,0,0,2,0,0,1,1,0
143,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,0,3,0,0,1,3,3
144,5,5,4,2,4,5,1,4,4,4,4,2,4,1,4,4,0,4,0,0,1,0,0
145,1,1,2,2,5,2,1,2,2,0,2,0,0,4,4,2,0,0,0,0,2,3,1
146,4,4,4,5,5,4,2,3,0,3,3,3,3,1,3,3,0,3,0,0,1,3,3
147,4,4,4,4,4,4,4,3,3,3,2,1,3,2,3,3,0,3,0,0,0,3,3
148,4,4,4,4,4,4,4,4,1,3,4,1,3,2,1,4,0,3,0,3,3,3,3
149,4,4,4,4,5,4,4,5,4,3,4,1,3,3,0,4,0,3,0,0,2,2,3
150,5,5,5,5,1,5,3,1,4,4,4,4,4,3,2,4,0,4,0,4,2,0,4
151,5,5,4,2,5,5,5,3,4,4,4,4,4,0,4,4,0,4,0,0,1,2,4
152,4,4,4,3,4,4,2,4,4,3,4,2,3,4,2,4,0,3,0,3,0,3,3
153,4,4,4,4,4,4,4,2,3,3,3,1,3,3,3,3,0,3,0,0,1,2,2
154,3,3,3,3,5,3,3,3,2,2,0,3,2,0,2,0,0,2,0,0,1,2,2
155,3,3,3,3,4,3,2,2,4,2,1,4,2,2,0,0,0,2,0,0,1,2,2
156,2,2,3,4,5,2,2,2,0,1,3,4,1,0,0,3,0,1,0,0,1,1,1
157,4,4,4,2,5,4,1,2,3,3,3,3,3,1,3,3,0,3,3,0,1,3,3
158,4,4,4,2,5,5,5,1,3,3,3,3,3,1,3,3,0,3,0,0,1,0,0
159,2,2,2,2,5,2,2,1,4,1,1,0,1,1,2,1,0,1,0,0,1,2,1
160,3,3,2,4,5,3,4,4,2,2,2,2,2,2,2,2,0,2,0,0,1,2,2
161,5,5,4,1,5,5,3,2,3,4,2,4,4,1,4,4,0,4,2,0,1,2,0
162,5,5,4,3,5,5,1,1,4,4,4,4,4,0,4,2,0,4,0,0,0,0,4
163,5,5,4,5,5,5,1,1,4,4,4,4,4,1,4,4,0,4,0,0,1,0,0
164,5,5,3,2,1,5,1,2,2,4,3,1,4,2,2,3,0,4,0,1,0,0,0
165,5,5,5,1,5,5,3,3,4,4,1,2,4,1,4,1,0,4,0,0,1,1,0
166,5,5,5,5,5,5,3,2,4,4,4,4,4,2,4,4,0,4,0,0,1,2,3
167,5,5,5,5,5,3,5,1,2,4,0,0,4,4,2,0,0,4,0,0,4,4,4
168,4,4,4,4,4,4,4,4,3,3,3,2,3,4,3,3,0,3,0,0,0,0,3
169,5,5,4,5,5,5,5,3,4,4,4,0,4,3,4,4,0,4,0,0,0,0,4
170,4,4,4,5,5,1,4,2,3,3,3,2,3,0,3,3,0,3,0,0,1,3,3
171,2,2,4,2,5,2,4,2,3,1,1,0,1,4,3,1,0,1,0,0,0,0,0
172,1,1,4,1,1,1,3,3,4,0,2,3,0,3,4,1,0,0,0,0,0,0,0
173,2,2,3,3,5,3,1,1,4,1,2,1,1,4,3,4,0,1,0,0,1,2,2
174,3,3,3,3,5,2,3,5,1,2,1,1,2,0,1,1,0,2,0,0,0,0,0
175,3,3,3,3,3,3,3,5,4,2,3,4,2,2,1,2,0,2,2,2,1,2,2
176,4,4,4,4,4,4,4,1,3,3,3,3,3,4,3,3,0,3,0,3,1,3,3
177,3,3,2,3,5,2,2,5,3,2,0,3,2,3,3,2,0,2,0,0,2,1,1
178,4,4,2,3,2,2,2,2,1,3,1,3,3,0,1,0,0,3,0,0,2,0,0
179,3,3,3,3,3,3,3,1,2,2,1,1,2,2,2,0,0,2,0,0,1,2,2
180,4,4,4,4,4,2,4,4,3,3,0,3,3,3,3,0,0,3,0,0,1,0,3
181,5,5,4,5,4,2,5,2,3,4,2,4,4,0,1,1,0,4,0,0,1,4,4
182,5,5,4,3,5,3,1,2,0,4,1,0,4,4,0,1,0,4,0,0,1,0,0
183,2,2,2,3,5,2,2,1,0,1,0,2,1,1,0,0,0,1,0,1,0,1,1
184,5,5,3,3,5,5,3,5,3,4,2,1,4,0,3,4,0,4,0,0,1,0,0
185,5,5,2,-1,4,5,3,2,0,4,3,0,4,2,0,1,0,4,0,0,3,0,0
186,2,2,2,2,4,2,1,4,0,1,0,1,1,3,3,0,0,1,0,0,1,0,1
187,2,2,3,1,5,2,2,3,2,1,2,1,1,1,2,3,0,1,0,0,1,2,0
188,4,4,2,2,5,4,4,1,3,3,2,3,3,0,3,2,0,3,0,0,1,3,3
189,3,3,3,3,5,3,1,1,3,2,2,0,2,4,3,1,0,2,0,0,1,2,3
190,4,4,4,2,5,4,2,2,3,3,3,2,3,2,3,3,0,3,0,0,1,2,0
191,2,2,2,2,5,5,2,2,2,1,1,0,1,1,1,1,0,1,0,0,1,1,1
192,4,4,2,5,5,2,1,1,2,3,4,1,3,4,2,2,0,3,0,0,1,0,0
193,5,5,5,4,5,4,6,1,1,4,1,4,4,4,2,4,0,4,0,0,0,0,4
194,3,3,2,2,5,2,2,1,2,2,3,3,2,2,2,2,0,2,0,0,1,1,1
195,5,5,4,2,4,5,1,1,2,4,2,4,4,2,3,2,0,4,0,0,4,4,4
196,3,3,3,3,3,3,3,3,3,2,2,1,2,4,3,2,1,2,2,2,1,2,2
197,5,5,4,5,5,5,5,4,3,4,4,4,4,4,0,4,0,4,0,0,1,4,4
198,3,3,3,3,5,3,3,5,2,2,0,3,2,2,4,0,0,2,2,0,1,2,2
199,2,2,2,1,1,2,2,5,0,1,2,3,1,2,4,2,0,1,0,0,1,1,0
200,3,3,3,3,3,3,3,4,3,2,1,2,2,2,3,1,0,2,2,0,1,2,2
201,4,4,4,4,4,4,3,3,3,3,0,3,3,2,3,3,0,3,0,0,1,3,3
202,3,3,3,3,3,1,3,2,3,2,1,1,2,1,0,1,1,2,2,0,0,2,2
203,2,2,2,3,5,3,1,3,4,1,1,0,1,3,1,1,0,1,0,0,1,1,1
204,3,3,2,4,4,2,3,1,2,2,2,1,2,0,2,1,0,2,0,0,1,2,2
205,2,2,3,3,5,3,3,1,0,1,4,2,1,4,0,4,0,1,2,0,1,2,0
206,4,4,3,4,5,5,2,2,2,3,1,2,3,2,2,1,0,3,0,0,1,0,1
207,5,5,4,1,5,5,2,1,4,4,4,2,4,1,4,4,0,4,2,0,1,2,2
208,1,1,4,4,4,4,2,2,0,0,4,0,0,1,1,1,0,0,0,0,1,0,0
209,5,5,3,5,5,5,5,3,1,4,1,1,4,3,1,4,0,4,4,0,1,4,4
210,3,3,3,3,3,3,3,1,4,2,1,2,2,2,4,1,0,2,2,2,1,2,2
211,3,3,3,3,3,3,3,4,3,2,3,0,2,4,3,3,0,2,0,0,1,2,0
212,3,3,3,3,177,3,3,3,4,2,2,2,2,2,4,4,0,2,0,0,1,2,2
213,3,3,3,3,177,3,1,1,3,2,1,4,2,2,3,2,0,2,0,0,1,2,2
214,3,3,3,3,177,3,3,4,1,2,1,2,2,0,2,2,0,2,0,0,1,2,2
215,5,5,5,5,177,5,2,5,3,4,4,4,4,0,4,4,0,4,0,0,1,1,4
216,5,5,4,4,1,5,4,4,4,4,4,0,4,2,4,0,0,4,0,0,1,3,3
217,3,3,3,3,3,3,3,1,2,2,2,0,2,0,2,0,0,2,0,0,2,2,2
218,5,5,3,3,5,3,2,1,4,4,4,1,4,2,4,4,0,4,0,0,1,0,0
219,2,2,2,2,5,2,2,4,1,1,3,3,1,1,1,3,0,1,0,1,1,1,1
220,5,5,1,1,5,5,5,3,4,4,4,1,4,4,4,4,0,4,0,0,1,4,4
221,4,4,4,4,4,4,4,4,0,3,0,4,3,2,2,0,0,3,3,3,3,3,3
222,2,2,3,3,4,1,2,5,1,1,1,1,1,3,0,0,0,1,0,0,1,1,1
223,3,3,3,3,3,1,3,1,3,2,4,1,2,2,0,4,0,2,0,0,1,2,2
224,3,3,3,2,5,3,2,4,1,2,2,1,2,0,2,3,0,2,0,0,1,0,0
225,4,4,3,3,4,1,1,5,4,3,2,1,3,4,4,2,0,3,0,0,0,3,0
226,2,2,2,1,4,4,2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,2,1
227,5,5,3,3,4,5,1,1,4,4,4,4,4,2,3,4,0,4,0,0,0,0,0
228,4,4,4,5,4,5,5,1,0,3,1,4,3,4,0,1,0,3,0,0,1,3,3
229,2,2,4,3,5,4,2,3,3,1,2,2,1,3,3,2,0,1,0,0,1,0,2
230,4,4,2,5,5,3,2,3,1,3,0,1,3,0,3,3,0,3,0,0,2,1,1
231,3,3,3,3,5,3,4,1,3,2,3,3,2,2,3,3,0,2,0,2,1,2,2
232,3,3,3,3,5,5,3,2,4,2,4,0,2,1,4,4,0,2,0,0,1,0,0
233,3,3,3,3,5,3,2,5,2,2,3,3,2,1,1,3,0,2,0,0,0,0,1
234,3,3,3,3,5,3,3,4,2,2,1,3,2,3,2,1,0,2,4,2,0,2,2
235,2,2,2,5,5,2,2,2,1,1,1,0,1,3,1,1,0,1,0,1,0,1,1
236,4,4,4,4,1,4,3,1,3,3,3,0,3,3,3,1,0,3,3,0,0,3,3
237,2,2,2,2,5,4,2,1,4,1,2,0,1,1,4,2,0,1,2,0,1,2,2
238,3,3,3,3,5,3,3,5,4,2,2,1,2,1,4,2,0,2,0,0,1,3,0
239,1,1,4,2,5,1,3,5,0,0,3,0,0,1,3,0,0,0,0,0,1,0,0
240,2,2,2,5,5,2,2,4,3,1,4,2,1,2,3,2,0,1,0,0,0,1,1
241,3,3,2,5,4,3,3,3,2,2,2,4,2,1,2,2,0,2,0,0,1,3,1
242,3,3,3,3,5,3,5,4,3,2,1,4,2,0,3,1,0,2,0,0,4,2,0
243,1,1,4,1,1,1,2,3,2,0,0,4,0,0,2,3,0,0,0,0,2,3,0
244,4,4,4,3,5,4,1,4,3,3,3,3,3,2,2,3,0,3,0,0,1,0,0
245,3,3,3,3,5,5,2,2,4,2,2,4,2,0,0,2,0,2,0,0,0,2,0
246,2,2,2,2,4,2,1,1,3,1,3,4,1,3,3,3,0,1,0,0,0,0,0
247,5,5,4,3,1,5,4,5,4,4,1,2,4,1,2,1,0,4,0,0,1,2,1
248,5,5,4,5,4,4,5,2,4,4,4,4,4,2,4,4,0,4,0,0,2,1,4
249,5,5,5,5,4,5,5,5,2,4,4,4,4,3,2,4,0,4,0,0,1,0,4
250,5,5,2,2,4,5,1,3,3,4,4,4,4,4,2,4,0,4,0,0,2,0,1
251,5,5,5,5,5,5,2,2,4,4,4,4,4,3,4,4,0,4,0,4,1,0,4
252,2,2,3,2,5,1,3,4,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0
253,2,2,2,2,5,2,2,1,3,1,4,3,1,3,3,2,0,1,0,0,0,1,1
254,2,2,2,2,5,2,2,2,1,1,0,4,1,4,1,0,0,1,0,0,1,1,1
255,3,3,4,5,5,3,3,1,2,2,2,2,2,3,2,1,0,2,0,0,1,2,2
256,2,2,3,2,5,2,1,3,1,1,3,0,1,1,0,1,0,1,0,0,1,1,1
257,2,2,4,2,4,2,2,4,1,1,3,1,1,3,1,3,0,1,4,0,0,1,1
258,2,2,4,5,4,4,4,2,1,1,1,3,1,4,1,1,0,1,0,0,1,0,1
259,4,4,4,3,4,4,3,4,3,3,3,2,3,4,3,2,0,3,0,0,1,0,0
260,3,3,2,3,4,5,3,4,1,2,0,0,2,4,1,0,0,2,0,0,0,2,0
261,4,4,3,2,4,1,3,4,4,3,1,1,3,1,1,1,0,3,0,0,1,0,4
262,5,5,4,3,4,4,1,2,0,4,4,0,4,4,0,4,0,4,0,0,1,3,0
263,3,3,3,2,4,3,3,2,1,2,3,1,2,1,1,3,0,2,0,0,1,2,2
264,5,5,3,5,5,5,4,3,4,4,3,4,4,2,4,3,0,4,0,0,1,0,4
265,4,4,3,3,5,1,3,1,1,3,4,2,3,0,2,4,0,3,4,0,1,2,1
266,5,5,3,3,4,5,4,4,4,4,4,4,4,2,4,4,0,4,0,0,0,0,0
267,5,5,4,4,5,1,4,2,4,4,4,4,4,2,4,2,0,4,4,0,1,4,4
268,2,2,2,5,4,2,1,4,2,1,2,2,1,0,2,2,0,1,0,0,1,1,1
269,3,3,3,3,4,3,3,1,2,2,2,2,2,3,2,2,0,2,0,0,1,2,2
270,4,4,3,3,5,4,3,5,4,3,2,2,3,3,0,2,0,3,0,0,2,3,3
271,3,3,3,3,5,3,4,1,4,2,0,0,2,0,4,1,0,2,0,0,3,2,3
272,3,3,3,3,5,1,5,1,3,2,1,1,2,3,1,1,0,2,0,0,1,2,2
273,2,2,4,2,5,3,2,1,1,1,1,1,1,3,1,1,1,1,0,0,1,1,1
274,2,2,4,3,5,4,1,4,4,1,0,1,1,2,4,1,0,1,4,0,1,1,4
275,3,3,3,3,5,1,3,3,0,2,0,3,2,0,2,0,0,2,0,0,1,0,0
276,3,3,3,5,4,3,5,2,0,2,0,4,2,3,0,0,0,2,0,0,1,2,0
277,1,1,4,5,5,2,1,1,4,0,0,2,0,3,3,4,0,0,0,0,1,0,0
278,3,3,4,3,5,3,3,2,0,2,2,1,2,0,1,2,0,2,0,0,2,2,2
279,3,3,3,3,5,3,3,2,3,2,4,1,2,1,4,4,0,2,0,2,1,2,2
280,2,2,2,4,5,2,1,3,2,1,1,3,1,1,2,1,0,1,0,0,1,2,1
281,1,1,3,3,1,3,3,5,2,0,3,3,0,2,2,1,0,0,0,0,1,1,0
